E; project; 2ª ETAPA DE MELHORIAS NO SIST. OPTICO DE UMA SE; vpl; 5274.58; cost; 10450
E; project; Manutenção Caixa separadora de Água e Óleo; vpl; 1333.33333333333; cost; 20000
E; project; Manutenção de Sistemas de Esgoto; vpl; 2333.33333333333; cost; 40000
E; project; Manutenção Sistema de Drenagem; vpl; 2000; cost; 38000
E; project; Melhoria Blindagem Descargas Atmosferica; vpl; 91666.6666666667; cost; 1800000
E; project; Melhorias à Proteção contra Descargas Atmosf.  em uma SE; vpl; 101007.9675; cost; 7300805
E; project; Melhorias nas Redes de Transmissão de dados da sede; vpl; 1333333.33333333; cost; 14000000
E; project; Melhorias no Sistema de tratamento de Alarmes em Centros de Controle da empresa; vpl; 76073.65; cost; 661510
E; project; Melhorias Sist de Ar Condicionado em UHE; vpl; 1666.66666666667; cost; 80000
E; project; Modern. Serv. Auxiliares de uma SE; vpl; 806.8175; cost; 21150
E; project; Modern. Serv. Auxiliares de uma SE em Jacarepaguá; vpl; 93.225; cost; 10000
E; project; Modern. Sistema de Ar Condicionado nos postos de trabalho; vpl; 18000; cost; 804000
E; project; MODERN.REDE OPTICA-US.ST.CRUZ/SE VITORIA; vpl; 3165.08333333333; cost; 51200
E; project; MODERN.SINCRONO-SE VITORIA; vpl; 8060.98166666667; cost; 170343
E; project; Moderniz. do Sistema Óptico Norte-Sul; vpl; 1250000; cost; 11000000
E; project; Modernização das Proteções de uma SE; vpl; 8177.66666666667; cost; 111220
E; project; Modernização das Proteções de uma SE em Itaberá; vpl; 10466.2366666667; cost; 313500
E; project; Modernização das Proteções de uma SE em Poços de Caldas; vpl; 13444.875; cost; 220780
E; project; MODERNIZACAO de UHE em BH; vpl; 166785.3625; cost; 22504233
E; project; MODERNIZACAO de UHE em FUNIL; vpl; 4307.9725; cost; 71575
E; project; Modernização do SINDAC  de uma SE em Ibiuna; vpl; 70518.0141666667; cost; 2500000
E; project; Modernização do Sist. Ctrl. do elo de CC entre duas SE´s; vpl; 81364.5466666667; cost; 2525000
E; project; Modernização do SIST. OPTICO - SUPERV. INFRAESTRUTURA; vpl; 6513.57416666667; cost; 495921
E; project; Modernização do SIST. OPTICO DE EQUIP. ROTA RIO/VITORIA; vpl; 3546.91666666667; cost; 94929
E; project; Modernização do SIST. OPTICO DE LT R VERDE-B.PEIXE/CORUMB; vpl; 18596.1666666667; cost; 448034
E; project; Modernização do SIST. OPTICO DE LT. CAMPOS/VITORIA 345 KV; vpl; 1979.06916666667; cost; 10000
E; project; Modernização do SIST. OPTICO DE P.CALDAS-BANCO DE BATERIA; vpl; 5179.25; cost; 51130
E; project; Modernização do SIST. OPTICO DE SIST. INTEGRADO DE GERENCIA; vpl; 4899.58333333333; cost; 83604.09
E; project; Modernização do SIST. OPTICO EM SE DE ARARAQUARA; vpl; 8438.58333333333; cost; 172932
E; project; Modernização do sistema de observabilidade e controlabilidade; vpl; 2244.72583333333; cost; 249752
E; project; MODERNIZACAO SISTEMA TELECOMUNICACOES; vpl; 500000; cost; 8100000
E; project; Reforço LT 500 kV Itaberá-Tijuco Preto I; vpl; 36547; cost; 12364789
E; project; Reforço LT 500kV Itaberá-Tijuco Preto II; vpl; 1126; cost; 2569845
E; project; Repotencialização da LT S.Cruz/Jacarepaguá (Parte I); vpl; 100; cost; 102
E; project; Repotencialização da LT Santa Cruz/Jacarepaguá (Parte II); vpl; 578; cost; 866
E; project; Reprod,. Larvicultura e Caract. Genética de Surubim Pseudoplatystoma Coruscans; vpl; 243463.099; cost; 4869261.98
E; project; Retific Canal Externo de SE; vpl; 8673.81666666667; cost; 200000
E; project; REVITALIZACAO TRAFOS de uma SE em Barreiro; vpl; 18129.72; cost; 67347
E; project; Subs Disjunt. obsoletos em uma SE de Porto Colombia; vpl; 125431.361666667; cost; 1998480
E; project; SUBST. 3 DIJUNTORES 345KV de uma SE em Itutinga; vpl; 34383.4708333333; cost; 982198
E; project; Subst. de Trafo de Corrente Alternada para CC; vpl; 1200000; cost; 4300000
E; project; Subst. de Transformadores; vpl; 11000000; cost; 18000000
E; project; Subst. do Grupo Gerador de uma SE; vpl; 13769.1666666667; cost; 260000
E; project; Substituição de DISJ. 230KV obsoletos de uma SE em Bandeirantes; vpl; 1175; cost; 6734
E; project; Substituição de DISJ. 230KV obsoletos de uma SE em Brasilia; vpl; 8060.98166666667; cost; 306734
E; project; Substituição de DISJ. 230KV obsoletos de uma SE em Cachoeira Dourada; vpl; 1003.5; cost; 56734
E; project; Substituição de Disjuntores Alta Tensão; vpl; 3500000; cost; 9000000
E; project; UTE Campos - Melhorias; vpl; 8538.75; cost; 161000.08
E; project; UTE Campos - Repotencialização; vpl; 54373.4166666667; cost; 119749.21
E; project; UTE São Gonçalo - Revitalização; vpl; 79706; cost; 145314.54
E; risk; Não renovação das concessões de Geração e Transmissão; probability; 35
E; risk; Regulação do preço de venda de energia ; probability; 34
E; risk; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; probability; 45
E; risk; Ingerência Política ; probability; 47
E; risk; Não atendimento de exigências de órgãos regulamentadores e fiscalizadores ; probability; 37
E; risk; Atraso na obtenção de licenças / autorizações ambientais ; probability; 36
E; risk; Falha no acompanhamento das mudanças da legislação de interesse da empresa; probability; 52
E; risk; Falta de renovação e recomposição da força de trabalho ; probability; 49
E; risk; Cenários internos não alinhados com o planejamento estratégico; probability; 37
E; risk; Dificuld. na liberação fundiária de áreas atingidas pelos empreendimentos da empresa; probability; 46
R; affects; Não renovação das concessões de Geração e Transmissão; Substituição de Disjuntores Alta Tensão; impact; -2700000
R; affects; Não renovação das concessões de Geração e Transmissão; UTE Campos - Melhorias; impact; -48300.024
R; affects; Não renovação das concessões de Geração e Transmissão; UTE Campos - Repotencialização; impact; -35924.763
R; affects; Não renovação das concessões de Geração e Transmissão; UTE São Gonçalo - Revitalização; impact; -43594.362
R; affects; Regulação do preço de venda de energia ; 2ª ETAPA DE MELHORIAS NO SIST. OPTICO DE UMA SE; impact; -688.39584
R; affects; Regulação do preço de venda de energia ; Manutenção Caixa separadora de Água e Óleo; impact; -1317.504
R; affects; Regulação do preço de venda de energia ; Manutenção de Sistemas de Esgoto; impact; -2635.008
R; affects; Regulação do preço de venda de energia ; Manutenção Sistema de Drenagem; impact; -2503.2576
R; affects; Regulação do preço de venda de energia ; Melhoria Blindagem Descargas Atmosferica; impact; -118575.36
R; affects; Regulação do preço de venda de energia ; Melhorias à Proteção contra Descargas Atmosf.  em uma SE; impact; -480941.989536
R; affects; Regulação do preço de venda de energia ; Melhorias nas Redes de Transmissão de dados da sede; impact; -922252.8
R; affects; Regulação do preço de venda de energia ; Melhorias no Sistema de tratamento de Alarmes em Centros de Controle da empresa; impact; -43577.103552
R; affects; Regulação do preço de venda de energia ; Melhorias Sist de Ar Condicionado em UHE; impact; -5270.016
R; affects; Regulação do preço de venda de energia ; Modern. Serv. Auxiliares de uma SE; impact; -1393.26048
R; affects; Regulação do preço de venda de energia ; Modern. Serv. Auxiliares de uma SE em Jacarepaguá; impact; -658.752
R; affects; Regulação do preço de venda de energia ; Modern. Sistema de Ar Condicionado nos postos de trabalho; impact; -52963.6608
R; affects; Regulação do preço de venda de energia ; MODERN.REDE OPTICA-US.ST.CRUZ/SE VITORIA; impact; -3372.81024
R; affects; Regulação do preço de venda de energia ; MODERN.SINCRONO-SE VITORIA; impact; -11221.3791936
R; affects; Regulação do preço de venda de energia ; Moderniz. do Sistema Óptico Norte-Sul; impact; -724627.2
R; affects; Regulação do preço de venda de energia ; Modernização das Proteções de uma SE; impact; -7326.639744
R; affects; Regulação do preço de venda de energia ; Modernização das Proteções de uma SE em Itaberá; impact; -20651.8752
R; affects; Regulação do preço de venda de energia ; Modernização das Proteções de uma SE em Poços de Caldas; impact; -14543.926656
R; affects; Regulação do preço de venda de energia ; MODERNIZACAO de UHE em BH; impact; -1482470.8497216
R; affects; Regulação do preço de venda de energia ; MODERNIZACAO de UHE em FUNIL; impact; -4715.01744
R; affects; Regulação do preço de venda de energia ; Modernização do SINDAC  de uma SE em Ibiuna; impact; -164688
R; affects; Regulação do preço de venda de energia ; Modernização do Sist. Ctrl. do elo de CC entre duas SE´s; impact; -166334.88
R; affects; Regulação do preço de venda de energia ; Modernização do SIST. OPTICO - SUPERV. INFRAESTRUTURA; impact; -32668.8950592
R; affects; Regulação do preço de venda de energia ; Modernização do SIST. OPTICO DE EQUIP. ROTA RIO/VITORIA; impact; -6253.4668608
R; affects; Regulação do preço de venda de energia ; Modernização do SIST. OPTICO DE LT R VERDE-B.PEIXE/CORUMB; impact; -29514.3293568
R; affects; Regulação do preço de venda de energia ; Modernização do SIST. OPTICO DE LT. CAMPOS/VITORIA 345 KV; impact; -658.752
R; affects; Regulação do preço de venda de energia ; Modernização do SIST. OPTICO DE P.CALDAS-BANCO DE BATERIA; impact; -3368.198976
R; affects; Regulação do preço de venda de energia ; Modernização do SIST. OPTICO DE SIST. INTEGRADO DE GERENCIA; impact; -5507.436149568
R; affects; Regulação do preço de venda de energia ; Modernização do SIST. OPTICO EM SE DE ARARAQUARA; impact; -11391.9300864
R; affects; Regulação do preço de venda de energia ; Modernização do sistema de observabilidade e controlabilidade; impact; -16452.4629504
R; affects; Regulação do preço de venda de energia ; MODERNIZACAO SISTEMA TELECOMUNICACOES; impact; -533589.12
R; affects; Regulação do preço de venda de energia ; Reforço LT 500 kV Itaberá-Tijuco Preto I; impact; -814532.9483328
R; affects; Regulação do preço de venda de energia ; Reforço LT 500kV Itaberá-Tijuco Preto II; impact; -169289.053344
R; affects; Regulação do preço de venda de energia ; Repotencialização da LT S.Cruz/Jacarepaguá (Parte I); impact; -6.7192704
R; affects; Regulação do preço de venda de energia ; Repotencialização da LT Santa Cruz/Jacarepaguá (Parte II); impact; -57.0479232
R; affects; Regulação do preço de venda de energia ; Reprod,. Larvicultura e Caract. Genética de Surubim Pseudoplatystoma Coruscans; impact; -320763.606784896
R; affects; Regulação do preço de venda de energia ; Retific Canal Externo de SE; impact; -13175.04
R; affects; Regulação do preço de venda de energia ; REVITALIZACAO TRAFOS de uma SE em Barreiro; impact; -4436.4970944
R; affects; Regulação do preço de venda de energia ; Subs Disjunt. obsoletos em uma SE de Porto Colombia; impact; -131650.269696
R; affects; Regulação do preço de venda de energia ; SUBST. 3 DIJUNTORES 345KV de uma SE em Itutinga; impact; -64702.4896896
R; affects; Regulação do preço de venda de energia ; Subst. de Trafo de Corrente Alternada para CC; impact; -283263.36
R; affects; Regulação do preço de venda de energia ; Subst. de Transformadores; impact; -1185753.6
R; affects; Regulação do preço de venda de energia ; Subst. do Grupo Gerador de uma SE; impact; -17127.552
R; affects; Regulação do preço de venda de energia ; Substituição de DISJ. 230KV obsoletos de uma SE em Bandeirantes; impact; -443.6035968
R; affects; Regulação do preço de venda de energia ; Substituição de DISJ. 230KV obsoletos de uma SE em Brasilia; impact; -20206.1635968
R; affects; Regulação do preço de venda de energia ; Substituição de DISJ. 230KV obsoletos de uma SE em Cachoeira Dourada; impact; -3737.3635968
R; affects; Regulação do preço de venda de energia ; Substituição de Disjuntores Alta Tensão; impact; -592876.8
R; affects; Regulação do preço de venda de energia ; UTE Campos - Melhorias; impact; -10605.912470016
R; affects; Regulação do preço de venda de energia ; UTE Campos - Repotencialização; impact; -7888.503158592
R; affects; Regulação do preço de venda de energia ; UTE São Gonçalo - Revitalização; impact; -9572.624385408
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; 2ª ETAPA DE MELHORIAS NO SIST. OPTICO DE UMA SE; impact; -156.75026125
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; Manutenção Caixa separadora de Água e Óleo; impact; -300.0005
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; Manutenção de Sistemas de Esgoto; impact; -600.001
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; Manutenção Sistema de Drenagem; impact; -570.00095
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; Melhoria Blindagem Descargas Atmosferica; impact; -27000.045
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; Melhorias à Proteção contra Descargas Atmosf.  em uma SE; impact; -109512.257520125
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; Melhorias nas Redes de Transmissão de dados da sede; impact; -210000.35
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; Melhorias no Sistema de tratamento de Alarmes em Centros de Controle da empresa; impact; -9922.66653775
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; Melhorias Sist de Ar Condicionado em UHE; impact; -1200.002
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; Modern. Serv. Auxiliares de uma SE; impact; -317.25052875
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; Modern. Serv. Auxiliares de uma SE em Jacarepaguá; impact; -150.00025
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; Modern. Sistema de Ar Condicionado nos postos de trabalho; impact; -12060.0201
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; MODERN.REDE OPTICA-US.ST.CRUZ/SE VITORIA; impact; -768.00128
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; MODERN.SINCRONO-SE VITORIA; impact; -2555.149258575
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; Moderniz. do Sistema Óptico Norte-Sul; impact; -165000.275
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; Modernização das Proteções de uma SE; impact; -1668.3027805
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; Modernização das Proteções de uma SE em Itaberá; impact; -4702.5078375
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; Modernização das Proteções de uma SE em Poços de Caldas; impact; -3311.7055195
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; MODERNIZACAO de UHE em BH; impact; -337564.057605825
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; MODERNIZACAO de UHE em FUNIL; impact; -1073.626789375
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; Modernização do SINDAC  de uma SE em Ibiuna; impact; -37500.0625
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; Modernização do Sist. Ctrl. do elo de CC entre duas SE´s; impact; -37875.063125
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; Modernização do SIST. OPTICO - SUPERV. INFRAESTRUTURA; impact; -7438.827398025
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; Modernização do SIST. OPTICO DE EQUIP. ROTA RIO/VITORIA; impact; -1423.937373225
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; Modernização do SIST. OPTICO DE LT R VERDE-B.PEIXE/CORUMB; impact; -6720.52120085
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; Modernização do SIST. OPTICO DE LT. CAMPOS/VITORIA 345 KV; impact; -150.00025
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; Modernização do SIST. OPTICO DE P.CALDAS-BANCO DE BATERIA; impact; -766.95127825
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; Modernização do SIST. OPTICO DE SIST. INTEGRADO DE GERENCIA; impact; -1254.06344010225
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; Modernização do SIST. OPTICO EM SE DE ARARAQUARA; impact; -2593.9843233
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; Modernização do sistema de observabilidade e controlabilidade; impact; -3746.2862438
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; MODERNIZACAO SISTEMA TELECOMUNICACOES; impact; -121500.2025
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; Reforço LT 500 kV Itaberá-Tijuco Preto I; impact; -185472.144119725
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; Reforço LT 500kV Itaberá-Tijuco Preto II; impact; -38547.739246125
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; Repotencialização da LT S.Cruz/Jacarepaguá (Parte I); impact; -1.53000255
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; Repotencialização da LT Santa Cruz/Jacarepaguá (Parte II); impact; -12.99002165
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; Reprod,. Larvicultura e Caract. Genética de Surubim Pseudoplatystoma Coruscans; impact; -73039.0514315495
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; Retific Canal Externo de SE; impact; -3000.005
R; affects; Orç. estrutural e de Invest. aprovados com valores subdimensionados ; REVITALIZACAO TRAFOS de uma SE em Barreiro; impact; -1010.206683675
